Distal,Shape,Class,Length,Cortex_Percentagem,Thickness,Width,Cortex_Location,Scar_count,Profile,Cross_section,Platform_type,Dorsal_Pattern,Cortex
Natural,Irregular,Flake,18.22,NoCortex,5.48,24.77,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,18,NoCortex,4.17,16.2,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,17.21,NoCortex,2.65,18.08,, ,Direito,Irregular,Other,Other,No_cortex
Natural,Irregular,Flake,17.18,NoCortex,4.15,17.69,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,16.94,NoCortex,4.11,16.85,, ,Direito,Flat,Liso,Other,No_cortex
Natural,Divergent,Flake,16.3,NoCortex,5.03,22.23,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,15.99,NoCortex,5.35,18.14,, ,Direito,Irregular,Dihedral,Other,No_cortex
Natural,Irregular,Flake,15.73,NoCortex,5.08,22.77,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,14.95,NoCortex,4.68,18.42,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,14.57,NoCortex,3.45,21.24,, ,Direito,Flat,Crushed,Other,No_cortex
Natural,Divergent,Flake,14.01,NoCortex,4.19,13.25,, ,Direito,Triangular,Liso,Other,No_cortex
Natural,Irregular,Flake,13.49,NoCortex,1.5,16.36,, ,Direito,Flat,Liso,Other,No_cortex
Natural,Circular,Flake,11.48,NoCortex,1.3,17.96,, ,Encurvado,Irregular,Liso,Other,No_cortex
Natural,Other,Flake,11,NoCortex,4.12,19.51,, ,Irregular,Irregular,Linear,Other,No_cortex
Natural,Irregular,Flake,35.22,NoCortex,17.85,44.95,, ,Direito,Triangular,Cortical,Other,No_cortex
Natural,Divergent,Flake,52.08,NoCortex,19.32,42.63,, ,Direito,Irregular,Cortical,Other,No_cortex
Natural,Irregular,Flake,32.13,NoCortex,15.03,27.19,, ,Irregular,Irregular,Liso,Other,No_cortex
Natural,Paralell,Flake,25.06,NoCortex,11.12,19.02,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,24.2,NoCortex,6.43,15.35,, ,Irregular,Irregular,Other,Other,No_cortex
Natural,Biconvex,Flake,23.27,NoCortex,9.14,30.38,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,22.57,NoCortex,14.45,24.2,, ,Direito,Irregular,Cortical,Other,No_cortex
Natural,Irregular,Flake,21.84,NoCortex,4.44,16.48,, ,Direito,Irregular,Crushed,Other,No_cortex
Hinged,Irregular,Flake,19.48,NoCortex,4.03,19.42,, ,Direito,Irregular,Other,Other,No_cortex
Hinged,Divergent,Flake,18.72,NoCortex,2.81,16.77,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Convergent,Flake,18.59,NoCortex,6.21,18.48,, ,Torcido,Triangular,Liso,Other,No_cortex
Natural,Divergent,Flake,18.56,NoCortex,2.08,12.13,, ,Torcido,Irregular,Linear,Other,No_cortex
Natural,Irregular,Flake,18.37,NoCortex,1.65,12.26,, ,Torcido,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,18.13,NoCortex,2.33,15.9,, ,Encurvado,Irregular,Other,Other,No_cortex
Natural,Irregular,Flake,17.69,NoCortex,5.52,29.34,, ,Direito,Irregular,Liso,Other,No_cortex
Natural,Divergent,Flake,15.91,NoCortex,3.53,20.97,, ,Direito,Irregular,Crushed,Other,No_cortex
Natural,Irregular,Flake,15.84,NoCortex,2.21,16.65,, ,Encurvado,Flat,Linear,Other,No_cortex
Natural,Irregular,Flake,14.35,NoCortex,3.95,14.09,, ,Direito,Irregular,Dihedral,Other,No_cortex
Natural,Biconvex,Flake,13.35,NoCortex,1.55,11.78,, ,Encurvado,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,18.62,NoCortex,4.91,21.73,, ,Direito,Irregular,Liso,Bidireccional,No_cortex
Natural,Biconvex,Flake,33.88000107,NoCortex,5.389999866,19.71999931,, ,Irregular,Irregular,Crushed,Crossed,No_cortex
Natural,Other,Flake,18.42000008,NoCortex,3.829999924,28.63999939,,0,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,22.20999908,NoCortex,4.309999943,17.30999947,,0,Direito,Triangular,Dihedral,Unidireccional,No_cortex
Natural,Paralell,Flake,46.79999924,NoCortex,13.47999954,38.27000046,,0,Irregular,Triangular,Liso,Other,No_cortex
Natural,Other,Flake,27.30999947,NoCortex,12.56999969,18.78000069,,0,Direito,Triangular,Other,Other,No_cortex
Natural,Divergent,Flake,19.84000015,NoCortex,7.210000038,18.55999947,,0,Torcido,Triangular,Crushed,Other,No_cortex
Natural,Irregular,Flake,21.45999908,NoCortex,2.809999943,16.29000092,,0,Direito,Trapezoidal,Other,Other,No_cortex
Natural,Paralell,Flake,19.35,NoCortex,7.36,13.78,,0,Torcido,Triangular,Liso,Other,No_cortex
Natural,Paralell,Flake,13.01000023,NoCortex,7.909999847,19.20000076,,0,Direito,Irregular,Cortical,Other,No_cortex
Natural,Circular,Flake,12.40999985,NoCortex,3.150000095,11.39999962,,0,Direito,Triangular,Multifacetted,Other,No_cortex
Natural,Circular,Flake,35.18000031,NoCortex,8.81000042,31.05999947,,0,Direito,Irregular,Other,Other,No_cortex
Natural,Paralell,Flake,38.36999893,NoCortex,10.10000038,25.75,,0,Encurvado,Triangular,Other,Other,No_cortex
Natural,Paralell,Flake,43.06999969,NoCortex,13.34000015,32.86999893,,0,Direito,Trapezoidal,Liso,Other,No_cortex
Natural,Irregular,Flake,41.58000183,NoCortex,5.550000191,38.59999847,,0,Irregular,Irregular,Liso,Other,No_cortex
Natural,Paralell,Flake,41.08000183,NoCortex,10.92000008,34.84000015,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,36.40000153,NoCortex,6.860000134,26.64999962,,0,Direito,Triangular,Other,Other,No_cortex
Natural,Biconvex,Flake,21.70000076,NoCortex,3.519999981,19.29999924,,0,Direito,Flat,Crushed,Other,No_cortex
Natural,Irregular,Flake,21.43000031,NoCortex,4.28000021,16.20999908,,0,Encurvado,Triangular,Multifacetted,Other,No_cortex
Natural,Irregular,Flake,20.35000038,NoCortex,3.519999981,18.79999924,,0,Direito,Irregular,Other,Other,No_cortex
Natural,Other,Flake,19.37000084,NoCortex,3.319999933,25,,0,Direito,Triangular,Crushed,Other,No_cortex
Natural,Biconvex,Flake,55.34999847,NoCortex,14.59000015,32.88000107,,0,Encurvado,Triangular,Liso,Other,No_cortex
Natural,Divergent,Flake,69.69999695,NoCortex,12.05000019,44.41999817,,0,Direito,Triangular,Other,Other,No_cortex
Natural,Circular,Flake,28.11000061,NoCortex,6.570000172,26.42000008,,0,Encurvado,Trapezoidal,Liso,Other,No_cortex
Natural,Circular,Flake,18.68000031,NoCortex,5.800000191,20.90999985,,0,Encurvado,Irregular,Other,Other,No_cortex
Natural,Circular,Flake,17.57999992,NoCortex,4.579999924,18.23999977,,0,Direito,Flat,Liso,Other,No_cortex
Natural,Other,Flake,21.87000084,NoCortex,15.92000008,23.87999916,,0,Direito,Triangular,Cortical,Other,No_cortex
Natural,Irregular,Flake,25.52000046,NoCortex,2.779999971,26.76000023,,0,Encurvado,Irregular,Liso,Other,No_cortex
Natural,Convergent,Flake,22.92000008,NoCortex,3.029999971,18.04000092,,0,Direito,Irregular,Crushed,Other,No_cortex
Natural,Other,Flake,11.97999954,NoCortex,3.450000048,16.59000015,,0,Direito,Irregular,Cortical,Other,No_cortex
Natural,Divergent,Flake,34.54000092,NoCortex,6.480000019,26.84000015,,0,Encurvado,Irregular,Dihedral,Other,No_cortex
Natural,Divergent,Flake,40.54999924,NoCortex,9.470000267,25.70999908,,0,Encurvado,Triangular,Crushed,Other,No_cortex
Natural,Irregular,Flake,27.80999947,NoCortex,5.25,21.23999977,,0,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,24.67000008,NoCortex,6.679999828,23.38999939,,0,Direito,Triangular,Liso,Other,No_cortex
Natural,Irregular,Flake,47.65999985,NoCortex,9.590000153,33.54999924,,0,Direito,Triangular,Other,Other,No_cortex
Natural,Irregular,Flake,34.93999863,NoCortex,18.45000076,28.37999916,,0,Irregular,Irregular,Liso,Other,No_cortex
Natural,Other,Flake,21.87999916,NoCortex,7.369999886,28.79999924,,0,Irregular,Irregular,Other,Other,No_cortex
Natural,Irregular,Flake,13.32999992,NoCortex,4.079999924,15.81999969,,0,Direito,Triangular,Crushed,Other,No_cortex
Natural,Irregular,Flake,10.85999966,NoCortex,3.430000067,23.39999962,,0,Encurvado,Irregular,Other,Other,No_cortex
Natural,Circular,Flake,26.54999924,NoCortex,6.699999809,25.31999969,,0,Direito,Trapezoidal,Liso,Other,No_cortex
Natural,Circular,Flake,26.09000015,NoCortex,8.239999771,22.89999962,,0,Direito,Irregular,Liso,Other,No_cortex
1,Paralell,Flake,23.54999924,NoCortex,7.53000021,17.28000069,,0,1,Irregular,Other,Other,No_cortex
1,Other,Flake,23.12999916,NoCortex,6.019999981,13.39000034,,0,1,1,Other,Other,No_cortex
1,Other,Flake,21.29999924,NoCortex,8.010000229,23.04999924,,0,1,1,Other,Other,No_cortex
1,Other,Flake,16.60000038,NoCortex,5.53000021,13.27999973,,0,1,1,Other,Other,No_cortex
Natural,Paralell,Flake,16.47999954,NoCortex,7.380000114,17.10000038,,0,Irregular,Triangular,Other,Other,No_cortex
Natural,Biconvex,Flake,36.27000046,NoCortex,10.32999992,30.54999924,,0,Direito,Triangular,Liso,Other,No_cortex
Natural,Other,Flake,35.31999969,NoCortex,6.139999866,21.22999954,,0,Direito,Trapezoidal,Other,Other,No_cortex
Natural,Divergent,Flake,20.39999962,NoCortex,4.650000095,16.40999985,,0,Encurvado,Triangular,Crushed,Other,No_cortex
Natural,Irregular,Flake,20.95999908,NoCortex,4.159999847,16.76000023,,0,Direito,Triangular,Liso,Other,No_cortex
Natural,Irregular,Flake,35.88000107,NoCortex,7.380000114,30.69000053,,0,Torcido,Irregular,Liso,Other,No_cortex
